,bin_id,bin_centre_lat,bin_centre_lon,quake_lat,quake_lon,place,country,magnitude,depth,utm,date
0,2_13,-65.0,-45.0,-60.6729,-42.912,Scotia Sea,Country not found,5.5,10.0,1466651139450,"(2016, 6, 23)"
1,2_34,-65.0,165.0,-62.3661,166.5804,Balleny Islands region,Country not found,5.7,10.0,1465973907280,"(2016, 6, 15)"
2,3_15,-55.0,-25.0,-55.5441,-26.8748,South Sandwich Islands region,Country not found,5.2,20.04,1466626214520,"(2016, 6, 22)"
3,3_31,-55.0,135.0,-50.906,139.44,western Indian-Antarctic Ridge,Country not found,5.0,10.0,1465839660940,"(2016, 6, 13)"
4,3_32,-55.0,145.0,-56.6174,146.9313,west of Macquarie Island,Country not found,5.0,10.0,1466925672960,"(2016, 6, 26)"
5,4_16,-45.0,-15.0,-42.6885,-16.0815,southern Mid-Atlantic Ridge,Country not found,5.3,10.0,1465388681580,"(2016, 6, 8)"
6,4_16,-45.0,-15.0,-43.7995,-16.1334,southern Mid-Atlantic Ridge,Country not found,5.2,10.0,1466534856260,"(2016, 6, 21)"
7,4_32,-45.0,145.0,-49.2427,148.4678,south of Tasmania,Country not found,5.2,10.0,1464961212150,"(2016, 6, 3)"
8,4_34,-45.0,165.0,-45.1528,166.8282,"75 km WNW of Te Anau, New Zealand",New Zealand,5.5,39.65,1465268123920,"(2016, 6, 7)"
9,5_0,-35.0,-175.0,-30.0235,-177.8359,"Kermadec Islands, New Zealand",Country not found,6.1,43.83,1465180532390,"(2016, 6, 6)"
10,5_0,-35.0,-175.0,-30.2228,-177.9545,"Kermadec Islands, New Zealand",Country not found,5.5,43.85,1464795443280,"(2016, 6, 1)"
11,5_0,-35.0,-175.0,-30.1541,-177.8394,"Kermadec Islands, New Zealand",Country not found,5.3,25.02,1466693748440,"(2016, 6, 23)"
12,5_10,-35.0,-75.0,-30.0433,-71.4636,"15 km SW of Coquimbo, Chile",Chile,5.5,28.31,1465218962220,"(2016, 6, 6)"
13,5_10,-35.0,-75.0,-30.069,-71.5238,"21 km SW of Coquimbo, Chile",Chile,5.4,29.5,1465219319190,"(2016, 6, 6)"
14,5_10,-35.0,-75.0,-30.6352,-71.6921,"47 km W of Ovalle, Chile",Chile,5.1,26.01,1466567680610,"(2016, 6, 22)"
15,5_10,-35.0,-75.0,-31.7806,-71.4198,"28 km SW of Illapel, Chile",Chile,5.0,45.67,1467031873180,"(2016, 6, 27)"
16,5_23,-35.0,55.0,-31.8832,57.1839,Southwest Indian Ridge,Country not found,5.3,10.0,1466298971420,"(2016, 6, 19)"
17,6_0,-25.0,-175.0,-27.8795,-176.9757,Kermadec Islands region,Country not found,5.2,54.25,1466667877010,"(2016, 6, 23)"
18,6_10,-25.0,-75.0,-29.3424,-71.8594,"84 km NW of Coquimbo, Chile",Country not found,5.8,28.0,1465105871550,"(2016, 6, 5)"
19,6_16,-25.0,-15.0,-20.6284,-11.5756,southern Mid-Atlantic Ridge,Country not found,5.0,10.0,1465944137410,"(2016, 6, 14)"
20,6_25,-25.0,75.0,-29.1579,74.9776,Mid-Indian Ridge,Country not found,5.0,10.0,1465383076230,"(2016, 6, 8)"
21,6_34,-25.0,165.0,-20.2793,169.0737,"84 km SSW of Isangel, Vanuatu",Country not found,6.3,13.0,1466329643600,"(2016, 6, 19)"
22,6_34,-25.0,165.0,-20.2072,168.7595,"91 km SW of Isangel, Vanuatu",Country not found,6.0,15.0,1466394655240,"(2016, 6, 20)"
23,6_34,-25.0,165.0,-20.5822,168.9219,"121 km SSW of Isangel, Vanuatu",Country not found,5.7,10.0,1466084784270,"(2016, 6, 16)"
24,6_34,-25.0,165.0,-20.546,168.8866,"118 km SSW of Isangel, Vanuatu",Country not found,5.3,40.16,1466073080380,"(2016, 6, 16)"
25,6_34,-25.0,165.0,-20.6316,168.6537,"129 km NE of Tadine, New Caledonia",Country not found,5.2,10.0,1466426975540,"(2016, 6, 20)"
26,6_34,-25.0,165.0,-20.4021,168.6999,"113 km SSW of Isangel, Vanuatu",Country not found,5.1,10.0,1466282284810,"(2016, 6, 18)"
27,6_34,-25.0,165.0,-20.261,168.5779,"108 km SW of Isangel, Vanuatu",Country not found,5.1,10.0,1466330667160,"(2016, 6, 19)"
28,6_34,-25.0,165.0,-20.4314,168.5735,"123 km SW of Isangel, Vanuatu",Country not found,5.0,10.0,1466332311890,"(2016, 6, 19)"
29,7_0,-15.0,-175.0,-16.4825,-177.2142,"258 km SSE of Alo, Wallis and Futuna",Country not found,5.8,10.0,1465583390780,"(2016, 6, 10)"
30,7_0,-15.0,-175.0,-17.6471,-172.6317,Tonga region,Country not found,5.6,10.0,1465166029370,"(2016, 6, 5)"
31,7_0,-15.0,-175.0,-15.5522,-173.0926,"87 km ENE of Hihifo, Tonga",Country not found,5.4,24.79,1465031919110,"(2016, 6, 4)"
32,7_0,-15.0,-175.0,-16.8755,-173.5323,"105 km SSE of Hihifo, Tonga",Country not found,5.2,40.08,1465555955970,"(2016, 6, 10)"
33,7_10,-15.0,-75.0,-15.9573,-74.1037,"22 km SW of Achanizo, Peru",Peru,5.1,37.33,1465099625560,"(2016, 6, 5)"
34,7_11,-15.0,-65.0,-19.4083,-69.0325,"147 km NE of Iquique, Chile",Chile,5.1,97.17,1465139133750,"(2016, 6, 5)"
35,7_16,-15.0,-15.0,-19.8531,-11.9372,southern Mid-Atlantic Ridge,Country not found,5.2,10.0,1467198428060,"(2016, 6, 29)"
36,7_16,-15.0,-15.0,-12.8188,-14.6708,southern Mid-Atlantic Ridge,Country not found,5.1,10.0,1467194336880,"(2016, 6, 29)"
37,7_16,-15.0,-15.0,-12.9116,-14.609,southern Mid-Atlantic Ridge,Country not found,5.1,10.0,1467194371150,"(2016, 6, 29)"
38,7_16,-15.0,-15.0,-19.8696,-11.8193,southern Mid-Atlantic Ridge,Country not found,5.1,10.0,1467199057550,"(2016, 6, 29)"
39,7_29,-15.0,115.0,-11.2487,116.2669,"279 km S of Lembar, Indonesia",Country not found,6.1,19.0,1465445588130,"(2016, 6, 9)"
40,7_34,-15.0,165.0,-14.6436,166.4585,"79 km NW of Port-Olry, Vanuatu",Vanuatu,5.8,9.0,1467154006600,"(2016, 6, 28)"
41,7_34,-15.0,165.0,-11.6148,166.37,"116 km SSE of Lata, Solomon Islands",Country not found,5.7,45.64,1466198777660,"(2016, 6, 17)"
42,7_34,-15.0,165.0,-18.2531,168.2801,"57 km S of Port-Vila, Vanuatu",Country not found,5.2,43.8,1465077556510,"(2016, 6, 4)"
43,7_34,-15.0,165.0,-17.9084,167.333,"105 km W of Port-Vila, Vanuatu",Country not found,5.1,10.0,1466631816050,"(2016, 6, 22)"
44,7_34,-15.0,165.0,-15.9625,167.55,"19 km NE of Norsup, Vanuatu",Vanuatu,5.0,60.9,1466430112840,"(2016, 6, 20)"
45,8_7,-5.0,-105.0,-4.061,-104.5531,central East Pacific Rise,Country not found,5.9,10.0,1465374699780,"(2016, 6, 8)"
46,8_7,-5.0,-105.0,-4.4284,-104.8111,central East Pacific Rise,Country not found,5.7,10.0,1465779579890,"(2016, 6, 13)"
47,8_7,-5.0,-105.0,-9.4659,-109.8836,central East Pacific Rise,Country not found,5.0,10.0,1465162956130,"(2016, 6, 5)"
48,8_16,-5.0,-15.0,-7.4584,-13.6003,"103 km ENE of Georgetown, Saint Helena",Country not found,5.5,10.0,1465550813070,"(2016, 6, 10)"
49,8_16,-5.0,-15.0,-5.6474,-11.5699,Ascension Island region,Country not found,5.4,10.0,1466378024580,"(2016, 6, 19)"
50,8_27,-5.0,95.0,-2.1865,99.4112,"172 km SW of Padang, Indonesia",Indonesia,5.3,6.78,1466518220650,"(2016, 6, 21)"
51,8_28,-5.0,105.0,-2.0967,100.6654,"80 km W of Sungai Penuh, Indonesia",Indonesia,6.6,50.0,1464821760800,"(2016, 6, 1)"
52,8_28,-5.0,105.0,-3.3293,101.2686,"122 km WNW of Bengkulu, Indonesia",Indonesia,5.4,39.77,1466284551540,"(2016, 6, 18)"
53,8_28,-5.0,105.0,-5.992,105.3444,"62 km S of Bandar Lampung, Indonesia",Indonesia,5.3,10.0,1467084764890,"(2016, 6, 28)"
54,8_30,-5.0,125.0,-2.9843,125.339,"Pulau-Pulau Sula, Indonesia",Indonesia,5.0,13.63,1465123108490,"(2016, 6, 5)"
55,8_31,-5.0,135.0,-4.5967,137.9705,"Papua, Indonesia",Indonesia,5.2,26.61,1465942168070,"(2016, 6, 14)"
56,8_31,-5.0,135.0,-4.2141,133.7873,"194 km NE of Tual, Indonesia",Indonesia,5.1,10.0,1467122151080,"(2016, 6, 28)"
57,8_31,-5.0,135.0,-3.4668,139.8705,"128 km SW of Abepura, Indonesia",Indonesia,5.0,45.69,1466440956680,"(2016, 6, 20)"
58,8_33,-5.0,155.0,-5.2354,151.7797,"112 km SSW of Kokopo, Papua New Guinea",Papua New Guinea,5.1,56.39,1464794698350,"(2016, 6, 1)"
59,8_34,-5.0,165.0,-8.6757,160.559,"18 km WNW of Auki, Solomon Islands",Solomon Islands,6.2,30.4,1465532264840,"(2016, 6, 10)"
60,9_9,5.0,-85.0,8.5093,-82.9374,"11 km WSW of Canoas, Costa Rica",Costa Rica,5.0,24.03,1465161630250,"(2016, 6, 5)"
61,9_27,5.0,95.0,0.984,97.4066,"150 km SSW of Singkil, Indonesia",Indonesia,5.1,36.21,1466563326310,"(2016, 6, 22)"
62,9_30,5.0,125.0,1.2789,126.3712,"125 km WNW of Ternate, Indonesia",Indonesia,6.3,31.0,1465326915330,"(2016, 6, 7)"
