,bin_id,bin_centre_lat,bin_centre_lon,quake_lat,quake_lon,place,country,magnitude,depth,utm,date
0,2_12,-65.0,-55.0,-62.4437,-58.3633,South Shetland Islands,Country not found,5.3,10.0,1600513912717,"(2020, 9, 19)"
1,2_12,-65.0,-55.0,-62.397,-58.205,South Shetland Islands,Country not found,5.3,10.0,1598957779138,"(2020, 9, 1)"
2,2_12,-65.0,-55.0,-62.3247,-58.3878,South Shetland Islands,Country not found,5.2,10.0,1600818826911,"(2020, 9, 22)"
3,2_12,-65.0,-55.0,-62.3157,-58.181,South Shetland Islands,Country not found,5.2,10.0,1600818253170,"(2020, 9, 22)"
4,2_12,-65.0,-55.0,-62.3925,-58.1373,South Shetland Islands,Country not found,5.0,10.0,1599175780233,"(2020, 9, 3)"
5,2_15,-65.0,-25.0,-60.3765,-28.7083,South Sandwich Islands region,Country not found,5.1,10.0,1601282800187,"(2020, 9, 28)"
6,2_15,-65.0,-25.0,-60.1332,-26.2439,South Sandwich Islands region,Country not found,5.0,10.0,1601006091351,"(2020, 9, 25)"
7,3_3,-55.0,-145.0,-57.1978,-147.7196,Pacific-Antarctic Ridge,Country not found,5.5,10.0,1601166924843,"(2020, 9, 27)"
8,3_3,-55.0,-145.0,-56.28,-143.9403,Pacific-Antarctic Ridge,Country not found,5.3,10.0,1599002231942,"(2020, 9, 1)"
9,3_12,-55.0,-55.0,-52.3832,-55.2649,Falkland Islands region,Country not found,5.0,10.0,1599436918228,"(2020, 9, 7)"
10,3_19,-55.0,15.0,-52.4722,13.4697,southwest of Africa,Country not found,5.0,10.0,1599189817455,"(2020, 9, 4)"
11,4_21,-45.0,35.0,-48.0249,31.7404,south of Africa,Country not found,6.1,10.0,1601140222462,"(2020, 9, 26)"
12,5_0,-35.0,-175.0,-32.5743,-178.3865,south of the Kermadec Islands,Country not found,5.2,10.0,1599215991305,"(2020, 9, 4)"
13,5_0,-35.0,-175.0,-32.317,-179.4204,south of the Kermadec Islands,Country not found,5.1,18.9,1599066302281,"(2020, 9, 2)"
14,5_0,-35.0,-175.0,-32.8356,-178.6311,south of the Kermadec Islands,Country not found,5.0,35.0,1599997644723,"(2020, 9, 13)"
15,5_0,-35.0,-175.0,-33.5474,-178.2136,south of the Kermadec Islands,Country not found,5.0,10.0,1601338657345,"(2020, 9, 29)"
16,5_10,-35.0,-75.0,-30.3388,-71.4912,"40 km NW of Ovalle, Chile",Chile,6.3,30.0,1599355018935,"(2020, 9, 6)"
17,5_25,-35.0,75.0,-37.5237,77.8874,Mid-Indian Ridge,Country not found,5.8,10.0,1600549771865,"(2020, 9, 19)"
18,6_0,-25.0,-175.0,-20.7035,-173.5713,"127 km SE of Pangai, Tonga",Country not found,5.5,10.0,1599404119447,"(2020, 9, 6)"
19,6_6,-25.0,-115.0,-24.5115,-111.9893,Easter Island region,Country not found,5.6,10.0,1599500444173,"(2020, 9, 7)"
20,6_10,-25.0,-75.0,-27.9686,-71.3062,"86 km NW of Vallenar, Chile",Chile,6.8,21.0,1598933368470,"(2020, 9, 1)"
21,6_10,-25.0,-75.0,-27.9162,-71.3701,"94 km NW of Vallenar, Chile",Country not found,6.5,16.0,1598994557852,"(2020, 9, 1)"
22,6_10,-25.0,-75.0,-28.0315,-71.2662,"78 km NW of Vallenar, Chile",Chile,6.3,16.18,1598934602173,"(2020, 9, 1)"
23,6_10,-25.0,-75.0,-27.9964,-71.3814,"88 km NW of Vallenar, Chile",Country not found,5.8,18.11,1598943685574,"(2020, 9, 1)"
24,6_10,-25.0,-75.0,-27.8691,-71.3922,"99 km NW of Vallenar, Chile",Country not found,5.7,22.0,1598956312471,"(2020, 9, 1)"
25,6_10,-25.0,-75.0,-27.9801,-71.2842,"83 km NW of Vallenar, Chile",Chile,5.4,19.22,1598938179438,"(2020, 9, 1)"
26,6_10,-25.0,-75.0,-27.951,-71.1538,"79 km NNW of Vallenar, Chile",Chile,5.1,22.86,1598934046447,"(2020, 9, 1)"
27,6_10,-25.0,-75.0,-27.968,-71.2008,"80 km NNW of Vallenar, Chile",Chile,5.1,28.0,1598934996982,"(2020, 9, 1)"
28,6_10,-25.0,-75.0,-27.8784,-71.3901,"99 km NW of Vallenar, Chile",Country not found,5.0,16.25,1598980402241,"(2020, 9, 1)"
29,6_11,-25.0,-65.0,-21.3968,-69.9096,"82 km NNE of Tocopilla, Chile",Chile,6.2,51.0,1599809757187,"(2020, 9, 11)"
30,7_0,-15.0,-175.0,-16.5183,-177.2594,"260 km SSE of Alo, Wallis and Futuna",Country not found,5.5,10.0,1600362091953,"(2020, 9, 17)"
31,7_0,-15.0,-175.0,-15.1737,-172.9796,"123 km NE of Hihifo, Tonga",Country not found,5.4,25.0,1599553733492,"(2020, 9, 8)"
32,7_0,-15.0,-175.0,-15.1492,-174.055,"93 km NNW of Hihifo, Tonga",Country not found,5.1,10.0,1601406078275,"(2020, 9, 29)"
