,bin_id,bin_centre_lat,bin_centre_lon,quake_lat,quake_lon,place,country,magnitude,depth,utm,date
0,2_33,-65.0,155.0,-61.7467,154.5985,Balleny Islands region,Country not found,6.2,10.0,1507495738420,"(2017, 10, 8)"
1,3_3,-55.0,-145.0,-55.3274,-148.2101,Pacific-Antarctic Ridge,Country not found,5.0,10.0,1507457042850,"(2017, 10, 8)"
2,3_15,-55.0,-25.0,-55.2567,-28.8297,South Sandwich Islands region,Country not found,5.2,10.0,1507057466240,"(2017, 10, 3)"
3,3_15,-55.0,-25.0,-56.2845,-24.6109,South Sandwich Islands region,Country not found,5.2,10.0,1507777943850,"(2017, 10, 12)"
4,3_18,-55.0,5.0,-54.2632,8.6086,Bouvet Island region,Country not found,6.7,9.0,1507661607830,"(2017, 10, 10)"
5,3_18,-55.0,5.0,-54.2586,8.3362,Bouvet Island region,Country not found,5.6,10.0,1507680506300,"(2017, 10, 11)"
6,3_19,-55.0,15.0,-52.3439,16.7811,southwest of Africa,Country not found,5.8,10.0,1508747552530,"(2017, 10, 23)"
7,3_19,-55.0,15.0,-52.3668,16.7755,southwest of Africa,Country not found,5.3,10.0,1508769763480,"(2017, 10, 23)"
8,3_19,-55.0,15.0,-52.2993,15.4806,southwest of Africa,Country not found,5.1,10.0,1508491757210,"(2017, 10, 20)"
9,3_19,-55.0,15.0,-52.3826,16.9607,southwest of Africa,Country not found,5.0,10.0,1508781268340,"(2017, 10, 23)"
10,3_20,-55.0,25.0,-53.2478,22.7589,south of Africa,Country not found,5.2,10.0,1508383518580,"(2017, 10, 19)"
11,3_32,-55.0,145.0,-56.7153,147.3948,west of Macquarie Island,Country not found,5.3,10.0,1509179103640,"(2017, 10, 28)"
12,3_32,-55.0,145.0,-56.3483,147.3256,west of Macquarie Island,Country not found,5.2,10.0,1509204454910,"(2017, 10, 28)"
13,4_35,-45.0,175.0,-42.4041,173.4131,"100 km NNE of Amberley, New Zealand",New Zealand,5.0,10.0,1508645458890,"(2017, 10, 22)"
14,5_0,-35.0,-175.0,-32.9921,-178.2819,south of the Kermadec Islands,Country not found,5.4,10.0,1507335390880,"(2017, 10, 7)"
15,5_0,-35.0,-175.0,-31.3112,-178.1432,Kermadec Islands region,Country not found,5.2,10.0,1507087346590,"(2017, 10, 4)"
16,5_0,-35.0,-175.0,-30.5203,-177.3206,"Kermadec Islands, New Zealand",Country not found,5.2,10.0,1508493358680,"(2017, 10, 20)"
17,5_0,-35.0,-175.0,-32.9122,-178.0374,south of the Kermadec Islands,Country not found,5.0,10.0,1507365489470,"(2017, 10, 7)"
18,5_16,-35.0,-15.0,-35.3103,-15.5522,Tristan da Cunha region,Country not found,5.6,10.0,1507311683140,"(2017, 10, 6)"
19,5_25,-35.0,75.0,-33.6161,77.7244,Mid-Indian Ridge,Country not found,5.1,10.0,1508810279030,"(2017, 10, 24)"
20,6_0,-25.0,-175.0,-20.5914,-173.8022,"103 km SE of Pangai, Tonga",Country not found,6.1,10.0,1508328059080,"(2017, 10, 18)"
21,6_0,-25.0,-175.0,-23.8502,-175.8718,"294 km SSW of ‘Ohonua, Tonga",Country not found,5.5,14.0,1508177366280,"(2017, 10, 16)"
22,6_0,-25.0,-175.0,-23.7327,-175.6834,"276 km SSW of ‘Ohonua, Tonga",Country not found,5.5,10.0,1508179003650,"(2017, 10, 16)"
23,6_0,-25.0,-175.0,-24.5681,-176.7451,south of the Fiji Islands,Country not found,5.1,96.86,1506852416490,"(2017, 10, 1)"
24,6_0,-25.0,-175.0,-23.9501,-175.4223,"293 km S of ‘Ohonua, Tonga",Country not found,5.1,10.0,1508177998060,"(2017, 10, 16)"
25,6_0,-25.0,-175.0,-22.7858,-174.5525,"165 km SSE of ‘Ohonua, Tonga",Country not found,5.0,10.0,1506866880300,"(2017, 10, 1)"
26,6_0,-25.0,-175.0,-23.7589,-175.5849,"276 km SSW of ‘Ohonua, Tonga",Country not found,5.0,10.0,1508184190990,"(2017, 10, 16)"
27,6_0,-25.0,-175.0,-24.01,-175.4475,south of Tonga,Country not found,5.0,10.0,1508239678800,"(2017, 10, 17)"
28,6_3,-25.0,-145.0,-26.3728,-141.3327,South Pacific Ocean,Country not found,5.2,10.0,1508793626470,"(2017, 10, 23)"
