,bin_id,bin_centre_lat,bin_centre_lon,quake_lat,quake_lon,place,country,magnitude,depth,utm,date
0,1_34,-75.0,165.0,-76.313,164.067,Ross Sea,Country not found,5.1,10.0,1343973969990,"(2012, 8, 3)"
1,2_0,-65.0,-175.0,-65.478,-179.778,Pacific-Antarctic Ridge,Country not found,5.6,10.0,1345980142090,"(2012, 8, 26)"
2,2_2,-65.0,-155.0,-63.004,-157.718,Pacific-Antarctic Ridge,Country not found,5.5,10.0,1344796285110,"(2012, 8, 12)"
3,2_12,-65.0,-55.0,-61.401,-58.258,South Shetland Islands,Country not found,5.0,10.0,1343917928260,"(2012, 8, 2)"
4,2_35,-65.0,175.0,-63.581,171.324,Balleny Islands region,Country not found,5.5,10.0,1345791790520,"(2012, 8, 24)"
5,3_15,-55.0,-25.0,-55.769,-26.056,South Sandwich Islands region,Country not found,5.2,35.0,1344465734100,"(2012, 8, 8)"
6,3_15,-55.0,-25.0,-59.203,-26.108,South Sandwich Islands region,Country not found,5.2,69.0,1344910437450,"(2012, 8, 14)"
7,3_15,-55.0,-25.0,-58.895,-25.452,South Sandwich Islands region,Country not found,5.2,35.0,1345737290880,"(2012, 8, 23)"
8,3_19,-55.0,15.0,-52.261,13.771,southwest of Africa,Country not found,5.1,10.0,1344255644410,"(2012, 8, 6)"
9,3_19,-55.0,15.0,-52.29,13.628,southwest of Africa,Country not found,5.0,10.0,1344253753920,"(2012, 8, 6)"
10,3_29,-55.0,115.0,-50.143,114.08,western Indian-Antarctic Ridge,Country not found,5.6,10.0,1346329123090,"(2012, 8, 30)"
11,3_29,-55.0,115.0,-50.211,114.106,western Indian-Antarctic Ridge,Country not found,5.4,10.0,1346324038420,"(2012, 8, 30)"
12,4_9,-45.0,-85.0,-42.814,-83.235,West Chile Rise,Country not found,5.2,10.0,1344598803430,"(2012, 8, 10)"
13,5_0,-35.0,-175.0,-33.435,-179.533,south of the Kermadec Islands,Country not found,5.6,38.0,1345802513940,"(2012, 8, 24)"
14,5_0,-35.0,-175.0,-35.56,-179.786,east of the North Island of New Zealand,Country not found,5.2,41.1,1343903174640,"(2012, 8, 2)"
15,5_0,-35.0,-175.0,-35.663,-179.679,east of the North Island of New Zealand,Country not found,5.1,39.2,1343813081210,"(2012, 8, 1)"
16,5_0,-35.0,-175.0,-37.584,-179.6,"241 km ENE of Gisborne, New Zealand",Country not found,5.1,56.4,1343884628590,"(2012, 8, 2)"
17,5_0,-35.0,-175.0,-35.779,-179.752,east of the North Island of New Zealand,Country not found,5.1,35.0,1344084867110,"(2012, 8, 4)"
18,5_8,-35.0,-95.0,-36.429,-98.905,southeast of Easter Island,Country not found,5.8,10.0,1345123484360,"(2012, 8, 16)"
19,5_10,-35.0,-75.0,-37.199,-73.397,"8 km NW of Arauco, Chile",Chile,5.0,23.0,1346313879970,"(2012, 8, 30)"
20,5_16,-35.0,-15.0,-33.145,-15.876,southern Mid-Atlantic Ridge,Country not found,5.2,10.0,1344496186670,"(2012, 8, 9)"
21,6_0,-25.0,-175.0,-27.311,-176.807,Kermadec Islands region,Country not found,5.7,16.0,1345783428350,"(2012, 8, 24)"
22,6_0,-25.0,-175.0,-20.038,-173.661,"76 km ESE of Pangai, Tonga",Country not found,5.1,35.0,1345630437470,"(2012, 8, 22)"
