,bin_id,bin_centre_lat,bin_centre_lon,quake_lat,quake_lon,place,country,magnitude,depth,utm,date
0,2_15,-65.0,-25.0,-60.289,-26.764,South Sandwich Islands region,Country not found,5.1,63.8,1362245567160,"(2013, 3, 2)"
1,2_16,-65.0,-15.0,-60.729,-19.315,east of the South Sandwich Islands,Country not found,5.0,10.0,1364044442240,"(2013, 3, 23)"
2,3_15,-55.0,-25.0,-58.892,-24.331,South Sandwich Islands region,Country not found,5.9,20.0,1363663738790,"(2013, 3, 19)"
3,3_15,-55.0,-25.0,-57.376,-24.838,South Sandwich Islands region,Country not found,5.4,35.1,1364363985400,"(2013, 3, 27)"
4,3_15,-55.0,-25.0,-57.324,-24.868,South Sandwich Islands region,Country not found,5.3,38.0,1364366570760,"(2013, 3, 27)"
5,3_15,-55.0,-25.0,-59.615,-26.367,South Sandwich Islands region,Country not found,5.1,81.6,1364190913520,"(2013, 3, 25)"
6,3_15,-55.0,-25.0,-59.994,-29.664,South Sandwich Islands region,Country not found,5.0,20.9,1364582593980,"(2013, 3, 29)"
7,3_15,-55.0,-25.0,-55.437,-27.75,South Sandwich Islands region,Country not found,5.0,10.0,1363074729380,"(2013, 3, 12)"
8,3_15,-55.0,-25.0,-55.155,-21.714,southwestern Atlantic Ocean,Country not found,5.0,10.0,1363961937450,"(2013, 3, 22)"
9,3_20,-55.0,25.0,-53.249,21.539,south of Africa,Country not found,5.0,10.0,1362855401850,"(2013, 3, 9)"
10,4_21,-45.0,35.0,-43.473,39.988,Prince Edward Islands region,Country not found,5.2,10.0,1362565853700,"(2013, 3, 6)"
11,4_21,-45.0,35.0,-43.437,39.571,Prince Edward Islands region,Country not found,5.1,10.0,1362638365060,"(2013, 3, 7)"
12,4_21,-45.0,35.0,-43.417,39.673,Prince Edward Islands region,Country not found,5.1,10.0,1362572894600,"(2013, 3, 6)"
13,4_21,-45.0,35.0,-43.349,39.564,Prince Edward Islands region,Country not found,5.0,10.0,1363006332200,"(2013, 3, 11)"
