,bin_id,bin_centre_lat,bin_centre_lon,quake_lat,quake_lon,place,country,magnitude,depth,utm,date
0,3_15,-55.0,-25.0,-59.7459,-26.201,South Sandwich Islands region,Country not found,5.4,42.43,1546519651970,"(2019, 1, 3)"
1,3_15,-55.0,-25.0,-55.7364,-26.9774,South Sandwich Islands region,Country not found,5.1,10.0,1546473788150,"(2019, 1, 3)"
2,3_19,-55.0,15.0,-52.5002,12.6438,southwest of Africa,Country not found,5.3,10.0,1547763373780,"(2019, 1, 17)"
3,4_16,-45.0,-15.0,-43.829,-16.018,southern Mid-Atlantic Ridge,Country not found,5.1,10.0,1547627577040,"(2019, 1, 16)"
4,4_22,-45.0,45.0,-43.1219,42.3568,Prince Edward Islands region,Country not found,6.7,13.0,1548183703580,"(2019, 1, 22)"
5,5_0,-35.0,-175.0,-30.2323,-178.0208,"Kermadec Islands, New Zealand",Country not found,5.2,47.23,1548265981820,"(2019, 1, 23)"
6,5_0,-35.0,-175.0,-33.4784,-177.9345,south of the Kermadec Islands,Country not found,5.1,10.0,1548227216910,"(2019, 1, 23)"
7,5_10,-35.0,-75.0,-30.0404,-71.3815,"10 km SSW of Coquimbo, Chile",Chile,6.7,63.0,1547947972480,"(2019, 1, 20)"
8,5_10,-35.0,-75.0,-35.5891,-72.9602,"57 km WSW of Constitución, Chile",Country not found,5.2,21.0,1548666047380,"(2019, 1, 28)"
9,5_10,-35.0,-75.0,-30.1191,-71.3753,"18 km S of Coquimbo, Chile",Chile,5.1,58.3,1548325708420,"(2019, 1, 24)"
10,6_0,-25.0,-175.0,-26.904,-175.5446,south of Tonga,Country not found,5.8,10.0,1547139637630,"(2019, 1, 10)"
11,6_0,-25.0,-175.0,-21.4205,-173.9721,"101 km E of ‘Ohonua, Tonga",Country not found,5.3,10.0,1547186292510,"(2019, 1, 11)"
12,6_0,-25.0,-175.0,-29.9483,-176.3448,Kermadec Islands region,Country not found,5.2,10.0,1547096060660,"(2019, 1, 10)"
13,6_0,-25.0,-175.0,-26.8175,-175.8455,south of Tonga,Country not found,5.2,10.0,1547273022970,"(2019, 1, 12)"
14,6_0,-25.0,-175.0,-22.5607,-174.3977,"147 km SSE of ‘Ohonua, Tonga",Country not found,5.2,10.0,1548329550690,"(2019, 1, 24)"
15,6_0,-25.0,-175.0,-26.9697,-176.3356,south of the Fiji Islands,Country not found,5.1,10.0,1547143000760,"(2019, 1, 10)"
16,6_0,-25.0,-175.0,-22.6486,-174.2725,"161 km SSE of ‘Ohonua, Tonga",Country not found,5.1,10.0,1547415157120,"(2019, 1, 13)"
17,6_0,-25.0,-175.0,-27.1754,-176.1577,Kermadec Islands region,Country not found,5.0,10.0,1547140320050,"(2019, 1, 10)"
18,6_10,-25.0,-75.0,-25.8985,-70.6676,"57 km SSW of Taltal, Chile",Chile,5.6,51.0,1548834285250,"(2019, 1, 30)"
19,6_24,-25.0,65.0,-22.8513,69.1853,Mid-Indian Ridge,Country not found,5.4,10.0,1548064526900,"(2019, 1, 21)"
20,6_34,-25.0,165.0,-21.9552,169.2489,"148 km ESE of Tadine, New Caledonia",Country not found,5.6,9.0,1548034594150,"(2019, 1, 21)"
21,6_34,-25.0,165.0,-21.9127,169.0164,"124 km ESE of Tadine, New Caledonia",Country not found,5.5,10.0,1548030945870,"(2019, 1, 21)"
22,6_34,-25.0,165.0,-21.7795,169.0165,southeast of the Loyalty Islands,Country not found,5.3,10.0,1547611955310,"(2019, 1, 16)"
23,6_34,-25.0,165.0,-21.8157,168.8301,"102 km ESE of Tadine, New Caledonia",Country not found,5.1,10.0,1547139614270,"(2019, 1, 10)"
24,6_34,-25.0,165.0,-22.0616,169.4063,"167 km ESE of Tadine, New Caledonia",Country not found,5.1,10.0,1547603461130,"(2019, 1, 16)"
25,7_0,-15.0,-175.0,-15.1799,-173.0213,"119 km NE of Hihifo, Tonga",Country not found,5.3,10.0,1548829429000,"(2019, 1, 30)"
26,7_0,-15.0,-175.0,-17.6716,-174.2895,"113 km NNW of Neiafu, Tonga",Country not found,5.2,10.0,1546958941870,"(2019, 1, 8)"
27,7_0,-15.0,-175.0,-18.0407,-172.1656,"203 km ENE of Neiafu, Tonga",Country not found,5.1,10.0,1546714506890,"(2019, 1, 5)"
28,7_0,-15.0,-175.0,-15.1184,-173.3482,"104 km NNE of Hihifo, Tonga",Country not found,5.1,10.0,1547626617310,"(2019, 1, 16)"
29,7_0,-15.0,-175.0,-15.1437,-173.3753,"100 km NNE of Hihifo, Tonga",Country not found,5.0,10.0,1548291158650,"(2019, 1, 24)"
30,7_0,-15.0,-175.0,-15.4555,-173.5918,"59 km NNE of Hihifo, Tonga",Country not found,5.0,93.17,1548445329830,"(2019, 1, 25)"
31,7_10,-15.0,-75.0,-14.5333,-75.3517,"15 km WNW of Llipata, Peru",Peru,5.7,60.5,1548391522230,"(2019, 1, 25)"
32,7_10,-15.0,-75.0,-17.6744,-70.6526,"13 km ESE of Locumba, Peru",Peru,5.2,96.3,1547506088620,"(2019, 1, 14)"
33,7_10,-15.0,-75.0,-15.1888,-70.8297,"12 km SE of Ocuviri, Peru",Peru,5.0,30.6,1546772780320,"(2019, 1, 6)"
34,7_22,-15.0,45.0,-12.7855,45.3977,"12 km E of Pamandzi, Mayotte",France,5.1,10.0,1547356535410,"(2019, 1, 13)"
35,7_29,-15.0,115.0,-10.4148,119.0165,"160 km WSW of Waingapu, Indonesia",Country not found,6.3,24.0,1548133803480,"(2019, 1, 22)"
36,7_29,-15.0,115.0,-10.3278,119.1521,"142 km WSW of Waingapu, Indonesia",Country not found,6.0,26.0,1548115163860,"(2019, 1, 21)"
37,7_29,-15.0,115.0,-10.2981,118.9231,"163 km WSW of Waingapu, Indonesia",Country not found,5.6,24.0,1548243542390,"(2019, 1, 23)"
38,7_29,-15.0,115.0,-10.3348,119.1155,"146 km WSW of Waingapu, Indonesia",Country not found,5.1,10.0,1548122217260,"(2019, 1, 22)"
39,7_29,-15.0,115.0,-10.3438,119.1059,"147 km WSW of Waingapu, Indonesia",Country not found,5.0,10.0,1548115711770,"(2019, 1, 22)"
40,7_29,-15.0,115.0,-10.4128,119.0016,"161 km WSW of Waingapu, Indonesia",Country not found,5.0,10.0,1548246970230,"(2019, 1, 23)"
41,7_34,-15.0,165.0,-13.336,166.8752,"94 km NW of Sola, Vanuatu",Vanuatu,6.6,35.0,1547575594300,"(2019, 1, 15)"
42,7_34,-15.0,165.0,-19.2036,168.7446,"67 km WNW of Isangel, Vanuatu",Country not found,6.0,38.67,1547817511030,"(2019, 1, 18)"
43,7_34,-15.0,165.0,-10.8381,165.9765,"23 km ESE of Lata, Solomon Islands",Solomon Islands,5.7,35.84,1548468441840,"(2019, 1, 26)"
44,7_34,-15.0,165.0,-10.0806,161.3925,"71 km NW of Kirakira, Solomon Islands",Solomon Islands,5.3,92.77,1547383214550,"(2019, 1, 13)"
45,7_34,-15.0,165.0,-19.1235,168.6132,"84 km WNW of Isangel, Vanuatu",Country not found,5.0,37.8,1548445242240,"(2019, 1, 25)"
46,8_7,-5.0,-105.0,-4.6334,-105.48,central East Pacific Rise,Country not found,5.9,10.0,1548862293440,"(2019, 1, 30)"
47,8_10,-5.0,-75.0,-4.6078,-74.0062,"48 km WSW of Nauta, Peru",Peru,5.2,10.0,1546941610050,"(2019, 1, 8)"
48,8_10,-5.0,-75.0,-8.9422,-79.0533,"44 km W of Puerto Santa, Peru",Peru,5.2,57.59,1547583848530,"(2019, 1, 15)"
49,8_10,-5.0,-75.0,-9.6306,-74.6628,"34 km E of Yuyapichis, Peru",Peru,5.1,71.71,1548345362350,"(2019, 1, 24)"
50,8_24,-5.0,65.0,-4.1918,68.1968,Chagos Archipelago region,Country not found,5.1,10.0,1547722319950,"(2019, 1, 17)"
51,8_27,-5.0,95.0,-2.4525,99.6762,"182 km SSW of Padang, Indonesia",Indonesia,5.1,10.0,1546374276330,"(2019, 1, 1)"
52,8_28,-5.0,105.0,-3.3932,101.2762,"118 km WNW of Bengkulu, Indonesia",Indonesia,5.4,39.0,1547233529180,"(2019, 1, 11)"
53,8_28,-5.0,105.0,-7.8778,106.5655,"98 km S of Pelabuhanratu, Indonesia",Country not found,5.2,35.0,1546941287990,"(2019, 1, 8)"
54,8_28,-5.0,105.0,-6.4851,103.6156,"216 km WSW of Bandar Lampung, Indonesia",Country not found,5.1,34.95,1546436423980,"(2019, 1, 2)"
55,8_28,-5.0,105.0,-6.8394,104.1856,"188 km WSW of Labuan, Indonesia",Country not found,5.1,38.71,1547294666400,"(2019, 1, 12)"
56,8_29,-5.0,115.0,-9.3853,119.9551,"45 km NW of Waingapu, Indonesia",Indonesia,5.0,72.93,1547060191060,"(2019, 1, 9)"
57,8_30,-5.0,125.0,-0.8253,127.6071,"172 km S of Sofifi, Indonesia",Indonesia,5.4,14.3,1546685697590,"(2019, 1, 5)"
