,bin_id,bin_centre_lat,bin_centre_lon,quake_lat,quake_lon,place,country,magnitude,depth,utm,date
0,3_15,-55.0,-25.0,-58.6262,-25.304,South Sandwich Islands region,Country not found,6.5,38.0,1554832438423,"(2019, 4, 9)"
1,3_15,-55.0,-25.0,-55.9308,-27.8522,South Sandwich Islands region,Country not found,6.4,57.0,1554480856716,"(2019, 4, 5)"
2,3_15,-55.0,-25.0,-56.2633,-27.3509,South Sandwich Islands region,South Georgia and the South Sandwich Islands,6.0,79.0,1555944545341,"(2019, 4, 22)"
3,3_15,-55.0,-25.0,-58.7395,-23.6177,South Sandwich Islands region,Country not found,5.2,10.0,1555433956544,"(2019, 4, 16)"
4,3_15,-55.0,-25.0,-57.8985,-24.5804,South Sandwich Islands region,Country not found,5.1,42.34,1556192566838,"(2019, 4, 25)"
5,3_15,-55.0,-25.0,-58.3842,-29.8688,South Sandwich Islands region,Country not found,5.0,10.0,1556080882545,"(2019, 4, 24)"
6,3_31,-55.0,135.0,-51.127,139.321,western Indian-Antarctic Ridge,Country not found,6.3,10.0,1555598761733,"(2019, 4, 18)"
7,3_31,-55.0,135.0,-51.3422,139.1491,western Indian-Antarctic Ridge,Country not found,5.0,10.0,1555371710016,"(2019, 4, 15)"
8,4_9,-45.0,-85.0,-41.2892,-87.4826,West Chile Rise,Country not found,5.7,7.09,1554651908095,"(2019, 4, 7)"
9,4_16,-45.0,-15.0,-47.2391,-13.2689,southern Mid-Atlantic Ridge,Country not found,5.0,10.0,1555029087570,"(2019, 4, 12)"
10,5_0,-35.0,-175.0,-31.1716,-179.0685,Kermadec Islands region,Country not found,5.7,10.0,1555406552296,"(2019, 4, 16)"
11,5_0,-35.0,-175.0,-31.0427,-178.7994,Kermadec Islands region,Country not found,5.7,10.0,1555407577735,"(2019, 4, 16)"
12,5_0,-35.0,-175.0,-32.3696,-179.5761,south of the Kermadec Islands,Country not found,5.3,8.76,1555430476256,"(2019, 4, 16)"
13,5_0,-35.0,-175.0,-32.0206,-177.9721,south of the Kermadec Islands,Country not found,5.1,10.0,1554620534786,"(2019, 4, 7)"
14,5_10,-35.0,-75.0,-33.7588,-72.5153,"86 km WSW of San Antonio, Chile",Country not found,5.6,10.0,1554634361093,"(2019, 4, 7)"
15,5_16,-35.0,-15.0,-35.2966,-15.486,Tristan da Cunha region,Country not found,5.7,10.0,1555399838353,"(2019, 4, 16)"
16,5_23,-35.0,55.0,-31.9225,57.1422,Southwest Indian Ridge,Country not found,5.0,10.0,1555021690876,"(2019, 4, 11)"
17,5_35,-35.0,175.0,-37.0898,178.989,"181 km NE of Opotiki, New Zealand",Country not found,5.0,35.0,1556388648480,"(2019, 4, 27)"
18,6_0,-25.0,-175.0,-24.15,-176.3471,south of the Fiji Islands,Country not found,5.1,35.0,1556305814341,"(2019, 4, 26)"
19,6_0,-25.0,-175.0,-21.2585,-174.5087,"46 km E of ‘Ohonua, Tonga",Country not found,5.1,10.0,1556410840742,"(2019, 4, 28)"
20,6_0,-25.0,-175.0,-20.0425,-173.159,"127 km E of Pangai, Tonga",Country not found,5.0,10.0,1555995122445,"(2019, 4, 23)"
21,6_10,-25.0,-75.0,-29.3648,-71.5891,"68 km NNW of La Serena, Chile",Chile,5.6,54.0,1555560394948,"(2019, 4, 18)"
22,6_10,-25.0,-75.0,-25.8994,-71.0166,"76 km SW of Taltal, Chile",error,5.5,29.0,1556259754325,"(2019, 4, 26)"
23,6_34,-25.0,165.0,-23.2172,169.0764,"173 km ESE of Vao, New Caledonia",Country not found,5.1,10.0,1554875874780,"(2019, 4, 10)"
24,6_35,-25.0,175.0,-22.1643,174.9094,southeast of the Loyalty Islands,Country not found,5.4,10.0,1555838680979,"(2019, 4, 21)"
25,7_0,-15.0,-175.0,-15.4067,-172.8171,"121 km ENE of Hihifo, Tonga",Country not found,6.0,15.36,1555071784870,"(2019, 4, 12)"
26,7_0,-15.0,-175.0,-14.9719,-172.9853,"139 km NE of Hihifo, Tonga",Country not found,5.2,10.0,1554468013957,"(2019, 4, 5)"
27,7_0,-15.0,-175.0,-15.565,-172.914,"103 km ENE of Hihifo, Tonga",Country not found,5.2,10.0,1554754544722,"(2019, 4, 8)"
28,7_0,-15.0,-175.0,-15.5963,-172.9848,"95 km ENE of Hihifo, Tonga",Country not found,5.2,10.0,1554764753380,"(2019, 4, 8)"
29,7_0,-15.0,-175.0,-19.0735,-174.3174,"58 km SW of Neiafu, Tonga",Country not found,5.1,35.0,1554664501757,"(2019, 4, 7)"
30,7_0,-15.0,-175.0,-16.573,-177.1363,"271 km SSE of Alo, Wallis and Futuna",Country not found,5.0,10.0,1555818656772,"(2019, 4, 21)"
31,7_22,-15.0,45.0,-12.7149,45.4442,"20 km ENE of Pamandzi, Mayotte",France,5.1,10.0,1554460084509,"(2019, 4, 5)"
32,7_24,-15.0,65.0,-18.2058,65.3656,"262 km NE of Port Mathurin, Mauritius",Country not found,6.0,10.0,1554143945857,"(2019, 4, 1)"
33,7_24,-15.0,65.0,-11.5403,66.4424,Mid-Indian Ridge,Country not found,5.3,10.0,1554536861264,"(2019, 4, 6)"
34,7_24,-15.0,65.0,-11.5037,66.5237,Mid-Indian Ridge,Country not found,5.1,10.0,1554552213542,"(2019, 4, 6)"
35,7_34,-15.0,165.0,-10.4031,161.3657,"61 km W of Kirakira, Solomon Islands",Solomon Islands,5.3,35.0,1555371775344,"(2019, 4, 15)"
36,7_34,-15.0,165.0,-10.1975,161.8786,"28 km N of Kirakira, Solomon Islands",Solomon Islands,5.0,57.66,1554576282773,"(2019, 4, 6)"
37,7_34,-15.0,165.0,-10.3005,161.2047,"80 km WNW of Kirakira, Solomon Islands",Solomon Islands,5.0,80.07,1555732101938,"(2019, 4, 20)"
38,7_34,-15.0,165.0,-19.144,167.7799,"163 km WNW of Isangel, Vanuatu",Country not found,5.0,10.0,1556460956314,"(2019, 4, 28)"
39,8_10,-5.0,-75.0,-5.0706,-78.1327,"68 km NNE of La Peca, Peru",Peru,5.1,49.33,1555513260938,"(2019, 4, 17)"
40,8_28,-5.0,105.0,-4.2655,102.143,"53 km SSW of Bengkulu, Indonesia",Indonesia,5.0,57.42,1556370266524,"(2019, 4, 27)"
41,8_30,-5.0,125.0,-1.8146,122.5798,"Sulawesi, Indonesia",Indonesia,6.8,15.46,1555069249363,"(2019, 4, 12)"
42,8_30,-5.0,125.0,-1.8614,122.6143,"102 km S of Luwuk, Indonesia",Indonesia,5.7,10.0,1555069536591,"(2019, 4, 12)"
43,8_30,-5.0,125.0,-1.8533,122.5759,"102 km SSW of Luwuk, Indonesia",Indonesia,5.4,10.0,1555071132954,"(2019, 4, 12)"
44,8_30,-5.0,125.0,-1.9244,122.4903,"112 km SSW of Luwuk, Indonesia",Indonesia,5.4,10.0,1556229466029,"(2019, 4, 25)"
45,8_30,-5.0,125.0,-1.6602,122.6107,"80 km SSW of Luwuk, Indonesia",Indonesia,5.3,10.0,1555069811467,"(2019, 4, 12)"
46,8_30,-5.0,125.0,-9.2992,124.7998,"23 km SSW of Atambua, Indonesia",Indonesia,5.1,35.0,1554603499349,"(2019, 4, 7)"
47,8_30,-5.0,125.0,-0.3313,125.8752,"208 km SW of Ternate, Indonesia",Indonesia,5.1,43.02,1556131332356,"(2019, 4, 24)"
48,8_30,-5.0,125.0,-1.8347,122.5799,"100 km SSW of Luwuk, Indonesia",Indonesia,5.0,10.0,1555133174545,"(2019, 4, 13)"
49,8_30,-5.0,125.0,-1.9533,122.5877,"112 km SSW of Luwuk, Indonesia",Indonesia,5.0,10.0,1555721736508,"(2019, 4, 20)"
50,8_32,-5.0,145.0,-6.4883,148.7394,"94 km WSW of Kandrian, Papua New Guinea",Papua New Guinea,6.0,30.0,1555080691603,"(2019, 4, 12)"
51,8_32,-5.0,145.0,-6.4916,148.635,"87 km E of Finschhafen, Papua New Guinea",Papua New Guinea,5.6,20.46,1555018309967,"(2019, 4, 11)"
52,8_32,-5.0,145.0,-5.3227,145.9781,"23 km ESE of Madang, Papua New Guinea",Papua New Guinea,5.2,72.45,1555149044346,"(2019, 4, 13)"
53,8_32,-5.0,145.0,-6.5267,148.6825,"92 km E of Finschhafen, Papua New Guinea",Papua New Guinea,5.1,45.32,1555145043720,"(2019, 4, 13)"
54,8_32,-5.0,145.0,-6.2468,142.2395,"90 km WSW of Tari, Papua New Guinea",Papua New Guinea,5.1,10.0,1556447665950,"(2019, 4, 28)"
55,8_32,-5.0,145.0,-6.0954,148.9304,"69 km W of Kandrian, Papua New Guinea",Papua New Guinea,5.0,50.88,1554246083745,"(2019, 4, 2)"
56,8_32,-5.0,145.0,-4.7406,145.2002,"84 km NW of Madang, Papua New Guinea",Papua New Guinea,5.0,44.2,1554745991110,"(2019, 4, 8)"
57,8_33,-5.0,155.0,-6.394,150.5086,"101 km SSE of Kimbe, Papua New Guinea",Papua New Guinea,5.1,10.0,1555001517659,"(2019, 4, 11)"
58,8_33,-5.0,155.0,-9.5595,150.8671,"94 km NNE of Alotau, Papua New Guinea",Papua New Guinea,5.1,8.46,1555543596826,"(2019, 4, 17)"
59,8_33,-5.0,155.0,-9.4428,150.9941,"113 km NNE of Alotau, Papua New Guinea",Papua New Guinea,5.0,10.0,1555489315206,"(2019, 4, 17)"
60,9_9,5.0,-85.0,1.4513,-85.2664,off the coast of Ecuador,Country not found,5.8,10.0,1554490002673,"(2019, 4, 5)"
61,9_9,5.0,-85.0,3.9697,-82.6124,south of Panama,Country not found,5.1,10.0,1555494948402,"(2019, 4, 17)"
62,9_9,5.0,-85.0,5.2807,-82.7517,south of Panama,Country not found,5.1,10.0,1556291050370,"(2019, 4, 26)"
63,9_10,5.0,-75.0,3.7455,-78.7363,"140 km NNW of Mosquera, Colombia",Country not found,5.0,10.0,1554809992540,"(2019, 4, 9)"
64,9_27,5.0,95.0,7.5782,94.3371,"215 km NNW of Sabang, Indonesia",Country not found,5.5,10.0,1554106292416,"(2019, 4, 1)"
65,9_27,5.0,95.0,7.4194,94.4056,"196 km NNW of Sabang, Indonesia",Country not found,5.4,10.0,1555171975522,"(2019, 4, 13)"
66,9_27,5.0,95.0,7.6959,94.2614,"231 km NNW of Sabang, Indonesia",Country not found,5.2,10.0,1554081691079,"(2019, 4, 1)"
67,9_27,5.0,95.0,7.6564,94.2566,"227 km NNW of Sabang, Indonesia",Country not found,5.2,10.0,1554081838459,"(2019, 4, 1)"
68,9_27,5.0,95.0,7.5485,94.3508,"212 km NNW of Sabang, Indonesia",Country not found,5.1,10.0,1554081103111,"(2019, 4, 1)"
69,9_27,5.0,95.0,7.538,94.3882,"209 km NNW of Sabang, Indonesia",Country not found,5.1,10.0,1554097958792,"(2019, 4, 1)"
70,9_27,5.0,95.0,7.6359,94.2502,"226 km NNW of Sabang, Indonesia",Country not found,5.1,10.0,1554954638660,"(2019, 4, 11)"
71,9_27,5.0,95.0,7.3554,94.3786,"192 km NNW of Sabang, Indonesia",Country not found,5.1,10.0,1555188210319,"(2019, 4, 13)"
72,9_27,5.0,95.0,7.806,94.364,"236 km NNW of Sabang, Indonesia",Country not found,5.0,10.0,1554077023547,"(2019, 4, 1)"
73,9_27,5.0,95.0,7.6688,94.3113,"225 km NNW of Sabang, Indonesia",Country not found,5.0,10.0,1554078343450,"(2019, 4, 1)"
74,9_27,5.0,95.0,7.5378,94.1618,"222 km NW of Sabang, Indonesia",Country not found,5.0,10.0,1554089887453,"(2019, 4, 1)"
75,9_27,5.0,95.0,7.4984,94.2064,"216 km NW of Sabang, Indonesia",Country not found,5.0,10.0,1554091754377,"(2019, 4, 1)"
76,9_27,5.0,95.0,7.6737,94.3251,"225 km NNW of Sabang, Indonesia",Country not found,5.0,10.0,1554950369509,"(2019, 4, 11)"
77,9_27,5.0,95.0,7.3444,94.4406,"187 km NNW of Sabang, Indonesia",Country not found,5.0,10.0,1555172416399,"(2019, 4, 13)"
