,bin_id,bin_centre_lat,bin_centre_lon,quake_lat,quake_lon,place,country,magnitude,depth,utm,date
0,2_11,-65.0,-65.0,-63.378,-62.543,South Shetland Islands,Country not found,5.7,8.8,1374003713500,"(2013, 7, 16)"
1,2_12,-65.0,-55.0,-61.712,-58.594,South Shetland Islands,Country not found,5.2,13.5,1374451503990,"(2013, 7, 22)"
2,2_15,-65.0,-25.0,-60.857,-25.07,South Sandwich Islands region,Country not found,7.3,11.0,1373897019880,"(2013, 7, 15)"
3,2_15,-65.0,-25.0,-60.357,-26.239,South Sandwich Islands region,Country not found,5.0,35.0,1374444242470,"(2013, 7, 21)"
4,3_15,-55.0,-25.0,-57.915,-23.841,South Sandwich Islands region,Country not found,6.3,13.0,1374874379990,"(2013, 7, 26)"
5,3_15,-55.0,-25.0,-57.765,-25.285,South Sandwich Islands region,Country not found,5.2,47.0,1375134731560,"(2013, 7, 29)"
6,3_15,-55.0,-25.0,-55.488,-28.561,South Sandwich Islands region,Country not found,5.1,35.0,1372668439430,"(2013, 7, 1)"
7,3_15,-55.0,-25.0,-59.884,-26.305,South Sandwich Islands region,Country not found,5.1,30.0,1374015913130,"(2013, 7, 16)"
8,4_21,-45.0,35.0,-46.049,34.78,Prince Edward Islands region,Country not found,6.3,10.0,1374476502500,"(2013, 7, 22)"
9,4_35,-45.0,175.0,-41.704,174.337,"38 km ESE of Blenheim, New Zealand",New Zealand,6.5,17.0,1374383371450,"(2013, 7, 21)"
10,4_35,-45.0,175.0,-41.638,174.386,"38 km ESE of Blenheim, New Zealand",New Zealand,5.9,14.0,1374347830140,"(2013, 7, 20)"
11,4_35,-45.0,175.0,-41.549,174.408,"38 km E of Blenheim, New Zealand",New Zealand,5.5,17.5,1374181599000,"(2013, 7, 18)"
12,4_35,-45.0,175.0,-41.535,174.366,"34 km E of Blenheim, New Zealand",New Zealand,5.3,12.7,1374383630250,"(2013, 7, 21)"
13,4_35,-45.0,175.0,-41.602,174.255,"26 km ESE of Blenheim, New Zealand",New Zealand,5.0,15.7,1374446845000,"(2013, 7, 21)"
14,5_0,-35.0,-175.0,-30.473,-176.286,Kermadec Islands region,Country not found,5.7,21.8,1374234042000,"(2013, 7, 19)"
15,5_0,-35.0,-175.0,-30.243,-177.535,"Kermadec Islands, New Zealand",Country not found,5.6,10.3,1373467441830,"(2013, 7, 10)"
16,5_0,-35.0,-175.0,-30.148,-177.466,"Kermadec Islands, New Zealand",Country not found,5.5,10.1,1373466339820,"(2013, 7, 10)"
17,5_0,-35.0,-175.0,-30.611,-178.107,"Kermadec Islands, New Zealand",Country not found,5.3,61.8,1372864142950,"(2013, 7, 3)"
18,5_0,-35.0,-175.0,-31.805,-178.705,Kermadec Islands region,Country not found,5.1,52.0,1373394152480,"(2013, 7, 9)"
19,5_7,-35.0,-105.0,-35.927,-102.964,southeast of Easter Island,Country not found,5.5,10.4,1372790383160,"(2013, 7, 2)"
20,5_23,-35.0,55.0,-35.29,54.0,Southwest Indian Ridge,Country not found,5.0,10.0,1374496377500,"(2013, 7, 22)"
21,6_0,-25.0,-175.0,-29.038,-175.812,Kermadec Islands region,Country not found,5.3,9.9,1373448551020,"(2013, 7, 10)"
22,6_0,-25.0,-175.0,-28.36,-177.842,Kermadec Islands region,Country not found,5.0,91.6,1374758735340,"(2013, 7, 25)"
23,6_6,-25.0,-115.0,-29.729,-111.659,Easter Island region,Country not found,5.4,10.3,1373143063340,"(2013, 7, 6)"
24,6_6,-25.0,-115.0,-29.666,-111.758,Easter Island region,Country not found,5.3,10.9,1373392985920,"(2013, 7, 9)"
25,6_6,-25.0,-115.0,-29.511,-111.74,Easter Island region,Country not found,5.2,12.6,1373395718750,"(2013, 7, 9)"
26,6_35,-25.0,175.0,-20.548,174.687,Vanuatu region,Country not found,5.2,47.1,1375042583890,"(2013, 7, 28)"
27,7_0,-15.0,-175.0,-15.398,-173.09,"97 km NE of Hihifo, Tonga",Country not found,5.8,15.0,1373896744590,"(2013, 7, 15)"
28,7_0,-15.0,-175.0,-15.727,-173.804,"25 km N of Hihifo, Tonga",Tonga,5.5,47.2,1372757921560,"(2013, 7, 2)"
29,7_0,-15.0,-175.0,-16.971,-177.057,Fiji region,Country not found,5.5,9.9,1375085546790,"(2013, 7, 29)"
30,7_10,-15.0,-75.0,-15.657,-71.74,"3 km ESE of Maca, Peru",Peru,6.0,7.0,1374028663180,"(2013, 7, 17)"
31,7_34,-15.0,165.0,-16.757,167.69,"78 km SSE of Lakatoro, Vanuatu",Vanuatu,5.5,25.0,1374200440840,"(2013, 7, 19)"
32,7_34,-15.0,165.0,-14.564,166.727,"64 km NW of Port-Olry, Vanuatu",Vanuatu,5.2,43.0,1373484064190,"(2013, 7, 10)"
33,7_34,-15.0,165.0,-17.411,167.777,"67 km WNW of Port-Vila, Vanuatu",Vanuatu,5.1,18.1,1374141572790,"(2013, 7, 18)"
34,7_34,-15.0,165.0,-10.865,165.8,"15 km S of Lata, Solomon Islands",Solomon Islands,5.1,48.6,1374211215260,"(2013, 7, 19)"
