Earthquake count within 2deg border 2010,Earthquake count within 2deg border 2011,Earthquake count within 2deg border 2012,Earthquake count within 2deg border 2013,Earthquake count within 2deg border 2014,Earthquake count within 2deg border 2015,Earthquake count within 2deg border 2016,Earthquake count within 2deg border 2017,Earthquake count within 2deg border 2018,Earthquake count within 2deg border 2019,Earthquake count within 2deg border 2020,Earthquake count within 2deg border 2021,Earthquake count within 2deg border 2022,Earthquake count within 2deg border 2023,Total
South Africa,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
St. Kitts and Nevis,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,5.0,2.0,17.0
St. Vin. and Gren.,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,13.0
Sudan,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
Syria,5.0,14.0,5.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,8.0,0.0,4.0,42.0,83.0
Taiwan,18.0,9.0,14.0,16.0,12.0,15.0,13.0,5.0,21.0,19.0,14.0,24.0,47.0,7.0,234.0
Tajikistan,16.0,6.0,10.0,7.0,5.0,9.0,15.0,12.0,6.0,6.0,6.0,9.0,6.0,7.0,120.0
Tanzania,4.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,2.0,3.0,4.0,1.0,0.0,3.0,28.0
Timor-Leste,7.0,4.0,6.0,10.0,9.0,8.0,12.0,3.0,5.0,5.0,6.0,6.0,8.0,6.0,95.0
Tonga,79.0,68.0,68.0,29.0,50.0,34.0,48.0,44.0,42.0,78.0,47.0,48.0,54.0,61.0,750.0
Trinidad and Tobago,3.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,3.0,2.0,1.0,17.0
Turkey,9.0,22.0,15.0,6.0,5.0,11.0,3.0,19.0,4.0,10.0,27.0,17.0,16.0,50.0,214.0
Turkmenistan,4.0,2.0,3.0,1.0,4.0,1.0,2.0,7.0,0.0,0.0,3.0,4.0,2.0,13.0,46.0
U.S. Minor Outlying Is.,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,16.0
USNB Guantanamo Bay,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,12.0
Uganda,2.0,1.0,1.0,3.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,15.0
United Arab Emirates,2.0,0.0,1.0,9.0,8.0,1.0,1.0,0.0,1.0,5.0,2.0,4.0,11.0,6.0,51.0
