,bin_id,bin_centre_lat,bin_centre_lon,quake_lat,quake_lon,place,country,magnitude,depth,utm,date
0,2_32,-65.0,145.0,-63.0433,145.002,south of Australia,Country not found,5.8,10.0,1456250926570,"(2016, 2, 23)"
1,2_33,-65.0,155.0,-62.2092,155.2569,Balleny Islands region,Country not found,5.7,10.0,1456451376830,"(2016, 2, 26)"
2,3_5,-55.0,-125.0,-55.7841,-125.1659,southern East Pacific Rise,Country not found,6.1,13.0,1455666515680,"(2016, 2, 16)"
3,3_15,-55.0,-25.0,-56.2549,-27.5661,South Sandwich Islands region,South Georgia and the South Sandwich Islands,5.6,99.0,1455757631530,"(2016, 2, 18)"
4,3_15,-55.0,-25.0,-57.8904,-26.0467,South Sandwich Islands region,South Georgia and the South Sandwich Islands,5.2,98.84,1455020928260,"(2016, 2, 9)"
5,3_31,-55.0,135.0,-51.7897,139.5956,western Indian-Antarctic Ridge,Country not found,6.1,10.0,1456608583570,"(2016, 2, 27)"
6,4_21,-45.0,35.0,-47.097,33.1259,Prince Edward Islands region,Country not found,5.3,10.0,1456439988470,"(2016, 2, 25)"
7,4_34,-45.0,165.0,-49.0481,164.4987,"Auckland Islands, New Zealand region",Country not found,5.9,10.0,1455564484590,"(2016, 2, 15)"
8,4_35,-45.0,175.0,-43.4798,172.7715,"12 km ENE of Christchurch, New Zealand",New Zealand,5.8,7.63,1455408824040,"(2016, 2, 14)"
9,4_35,-45.0,175.0,-42.1199,173.0747,"79 km S of Wakefield, New Zealand",New Zealand,5.2,53.72,1454978340640,"(2016, 2, 9)"
10,5_0,-35.0,-175.0,-30.4475,-177.6749,"Kermadec Islands, New Zealand",Country not found,5.2,16.99,1454544467930,"(2016, 2, 4)"
11,5_0,-35.0,-175.0,-30.4194,-177.5769,"Kermadec Islands, New Zealand",Country not found,5.1,25.29,1454546894140,"(2016, 2, 4)"
12,5_0,-35.0,-175.0,-30.4791,-177.6664,"Kermadec Islands, New Zealand",Country not found,5.1,23.9,1455695066940,"(2016, 2, 17)"
13,5_0,-35.0,-175.0,-30.505,-177.5772,"Kermadec Islands, New Zealand",Country not found,5.0,10.0,1454547523850,"(2016, 2, 4)"
14,5_0,-35.0,-175.0,-30.487,-177.5665,"Kermadec Islands, New Zealand",Country not found,5.0,10.0,1454575935610,"(2016, 2, 4)"
15,5_10,-35.0,-75.0,-30.5723,-71.5838,"37 km W of Ovalle, Chile",Chile,6.3,29.0,1455064385340,"(2016, 2, 10)"
16,5_10,-35.0,-75.0,-30.4242,-72.2967,"105 km WSW of Coquimbo, Chile",Country not found,6.0,12.0,1456123019400,"(2016, 2, 22)"
17,5_10,-35.0,-75.0,-31.0741,-71.6711,"69 km SW of Ovalle, Chile",Chile,5.1,23.7,1454650088110,"(2016, 2, 5)"
18,5_10,-35.0,-75.0,-30.676,-71.6542,"44 km W of Ovalle, Chile",Chile,5.1,33.84,1455066846380,"(2016, 2, 10)"
19,5_10,-35.0,-75.0,-31.0793,-71.7851,"77 km SW of Ovalle, Chile",Chile,5.0,24.66,1454649880500,"(2016, 2, 5)"
20,5_10,-35.0,-75.0,-30.5812,-71.6663,"44 km W of Ovalle, Chile",Chile,5.0,28.79,1455065229280,"(2016, 2, 10)"
21,6_0,-25.0,-175.0,-20.9981,-175.4788,"32 km WNW of Haveluloto, Tonga",Tonga,6.0,10.0,1455548552890,"(2016, 2, 15)"
22,6_0,-25.0,-175.0,-20.229,-174.7023,"58 km SW of Pangai, Tonga",Tonga,5.4,35.0,1455117033990,"(2016, 2, 10)"
23,6_0,-25.0,-175.0,-20.4137,-174.619,"71 km SSW of Pangai, Tonga",Tonga,5.0,41.08,1455139820470,"(2016, 2, 10)"
24,6_11,-25.0,-65.0,-23.1052,-68.9667,"71 km S of Calama, Chile",Chile,5.2,85.47,1456414506740,"(2016, 2, 25)"
25,6_16,-25.0,-15.0,-25.7065,-13.7861,southern Mid-Atlantic Ridge,Country not found,5.2,9.91,1455210032780,"(2016, 2, 11)"
26,7_0,-15.0,-175.0,-15.2216,-173.3951,"91 km NNE of Hihifo, Tonga",Country not found,5.8,51.0,1454810620380,"(2016, 2, 7)"
27,7_0,-15.0,-175.0,-19.0907,-172.4744,"166 km ESE of Neiafu, Tonga",Country not found,5.3,35.63,1454965169330,"(2016, 2, 8)"
28,7_0,-15.0,-175.0,-17.4196,-171.8895,"260 km SE of Hihifo, Tonga",Country not found,5.3,22.83,1455433845870,"(2016, 2, 14)"
29,7_0,-15.0,-175.0,-14.8945,-172.8947,"135 km SSW of Gataivai, Samoa",Country not found,5.0,12.7,1454722839660,"(2016, 2, 6)"
30,7_0,-15.0,-175.0,-19.6172,-172.9109,"152 km E of Pangai, Tonga",Country not found,5.0,27.7,1455064441390,"(2016, 2, 10)"
31,7_10,-15.0,-75.0,-16.4442,-73.6045,"26 km S of Atico, Peru",Peru,5.7,29.0,1455619590010,"(2016, 2, 16)"
32,7_10,-15.0,-75.0,-15.72,-71.821,"10 km SSW of Maca, Peru",Peru,5.0,10.0,1455933950020,"(2016, 2, 20)"
33,7_30,-15.0,125.0,-10.0781,123.5698,"Timor region, Indonesia",Indonesia,5.2,10.0,1454531248170,"(2016, 2, 3)"
34,7_34,-15.0,165.0,-11.3289,162.8192,"137 km SE of Kirakira, Solomon Islands",Country not found,5.4,10.0,1455310608430,"(2016, 2, 12)"
35,7_34,-15.0,165.0,-11.1731,164.1517,"186 km WSW of Lata, Solomon Islands",Country not found,5.1,13.7,1455304768430,"(2016, 2, 12)"
36,7_34,-15.0,165.0,-10.1982,161.6349,"42 km NW of Kirakira, Solomon Islands",Solomon Islands,5.0,70.44,1455131508350,"(2016, 2, 10)"
37,7_35,-15.0,175.0,-16.9899,174.9389,"275 km WNW of Lautoka, Fiji",Country not found,5.7,10.0,1454722758550,"(2016, 2, 6)"
38,7_35,-15.0,175.0,-17.2652,174.9525,"268 km W of Lautoka, Fiji",Country not found,5.1,10.0,1454734295980,"(2016, 2, 6)"
39,8_20,-5.0,25.0,-1.5703,28.4181,"69 km W of Sake, Democratic Republic of the Congo",Democratic Republic of the Congo,5.1,10.0,1454589839710,"(2016, 2, 4)"
40,8_28,-5.0,105.0,-9.4645,108.5707,"215 km SSW of Kroya, Indonesia",Country not found,5.1,8.14,1455396334740,"(2016, 2, 13)"
41,8_29,-5.0,115.0,-9.6338,119.4013,"94 km W of Waingapu, Indonesia",Indonesia,6.3,28.0,1455271344050,"(2016, 2, 12)"
42,8_29,-5.0,115.0,-8.7463,111.5091,"77 km SSW of Trenggalek, Indonesia",Country not found,5.1,57.44,1456443319300,"(2016, 2, 25)"
43,8_30,-5.0,125.0,-3.0377,129.4157,"64 km ENE of Amahai, Indonesia",Indonesia,5.0,10.0,1455931592750,"(2016, 2, 20)"
44,8_30,-5.0,125.0,-8.9347,124.1552,"38 km NW of Pante Makasar, Timor Leste",Indonesia,5.0,93.63,1456612625100,"(2016, 2, 27)"
45,8_32,-5.0,145.0,-6.4063,147.4457,"47 km WNW of Finschhafen, Papua New Guinea",Papua New Guinea,5.1,66.39,1454569166340,"(2016, 2, 4)"
46,8_32,-5.0,145.0,-5.2791,141.5855,"98 km NNE of Kiunga, Papua New Guinea",Papua New Guinea,5.1,4.45,1454703068030,"(2016, 2, 5)"
47,8_32,-5.0,145.0,-3.5849,141.3883,"100 km S of Vanimo, Papua New Guinea",Papua New Guinea,5.0,10.0,1456008128860,"(2016, 2, 20)"
48,8_33,-5.0,155.0,-6.6207,154.7421,"88 km WSW of Panguna, Papua New Guinea",Country not found,6.4,29.0,1454948352780,"(2016, 2, 8)"
49,8_33,-5.0,155.0,-4.4342,153.6169,"149 km E of Kokopo, Papua New Guinea",Papua New Guinea,5.1,95.8,1454694523120,"(2016, 2, 5)"
50,8_33,-5.0,155.0,-9.0563,158.6935,"132 km WNW of Malango, Solomon Islands",Solomon Islands,5.0,10.0,1454829105100,"(2016, 2, 7)"
51,8_33,-5.0,155.0,-4.6597,152.635,"53 km SE of Kokopo, Papua New Guinea",Papua New Guinea,5.0,50.18,1455649635200,"(2016, 2, 16)"
52,9_14,5.0,-35.0,4.6999,-32.6275,central Mid-Atlantic Ridge,Country not found,5.5,10.0,1456017962260,"(2016, 2, 21)"
53,9_14,5.0,-35.0,4.5351,-32.6719,central Mid-Atlantic Ridge,Country not found,5.4,10.0,1456540906250,"(2016, 2, 27)"
54,9_14,5.0,-35.0,4.4941,-32.6206,central Mid-Atlantic Ridge,Country not found,5.2,10.0,1455980398650,"(2016, 2, 20)"
55,9_14,5.0,-35.0,4.8279,-32.6286,central Mid-Atlantic Ridge,Country not found,5.1,10.0,1455986905960,"(2016, 2, 20)"
56,9_14,5.0,-35.0,4.5071,-32.6569,central Mid-Atlantic Ridge,Country not found,5.0,10.0,1456021581830,"(2016, 2, 21)"
57,9_24,5.0,65.0,2.142,66.8312,Carlsberg Ridge,Country not found,5.0,10.0,1455025843040,"(2016, 2, 9)"
58,9_30,5.0,125.0,0.8597,129.0605,"151 km SE of Tobelo, Indonesia",Indonesia,6.0,9.0,1455729962210,"(2016, 2, 17)"
59,9_30,5.0,125.0,1.0649,127.4284,"30 km N of Ternate, Indonesia",Indonesia,5.4,13.7,1456260454670,"(2016, 2, 23)"
60,9_30,5.0,125.0,1.5577,126.4538,"133 km NW of Ternate, Indonesia",Indonesia,5.3,10.0,1454602383930,"(2016, 2, 4)"
61,10_9,15.0,-85.0,11.1962,-86.7168,near the coast of Nicaragua,Country not found,5.1,33.36,1455019978710,"(2016, 2, 9)"
62,10_9,15.0,-85.0,16.8595,-86.225,"57 km NW of Guanaja, Honduras",Country not found,5.0,18.98,1454441779630,"(2016, 2, 2)"
63,10_24,15.0,65.0,17.2102,60.0573,Owen Fracture Zone region,Country not found,5.0,10.0,1455827379540,"(2016, 2, 18)"
64,10_27,15.0,95.0,14.2933,93.204,"291 km N of Bamboo Flat, India",Myanmar,5.1,10.0,1454599849930,"(2016, 2, 4)"
65,10_30,15.0,125.0,13.7942,122.3308,"4 km E of San Francisco, Philippines",Philippines,5.3,10.0,1454648446740,"(2016, 2, 5)"
66,10_30,15.0,125.0,13.8147,122.2589,"4 km NW of San Francisco, Philippines",Philippines,5.2,27.79,1454625697680,"(2016, 2, 4)"
67,10_32,15.0,145.0,14.0933,145.22,"71 km NNE of Yigo Village, Guam",United States,5.1,89.12,1454829939500,"(2016, 2, 7)"
68,11_13,25.0,-45.0,28.3818,-43.7644,northern Mid-Atlantic Ridge,Country not found,5.4,10.0,1454972606190,"(2016, 2, 8)"
69,11_13,25.0,-45.0,28.3826,-43.7664,northern Mid-Atlantic Ridge,Country not found,5.3,10.0,1454974005570,"(2016, 2, 8)"
70,11_13,25.0,-45.0,28.3051,-43.6161,northern Mid-Atlantic Ridge,Country not found,5.3,10.0,1455002371760,"(2016, 2, 9)"
71,11_13,25.0,-45.0,28.3132,-43.803,northern Mid-Atlantic Ridge,Country not found,5.0,10.0,1454963985610,"(2016, 2, 8)"
72,11_13,25.0,-45.0,28.2928,-43.7599,northern Mid-Atlantic Ridge,Country not found,5.0,10.0,1455002564580,"(2016, 2, 9)"
73,11_26,25.0,85.0,27.8782,85.3377,"19 km N of Kathmandu, Nepal",Nepal,5.2,23.53,1454689211740,"(2016, 2, 5)"
74,11_26,25.0,85.0,27.9633,84.6943,"40 km NE of Bharatpur, Nepal",Nepal,5.1,16.72,1456078200970,"(2016, 2, 21)"
75,11_30,25.0,125.0,22.9375,120.6014,"25 km SE of Yujing, Taiwan",Taiwan,6.4,23.0,1454702247380,"(2016, 2, 5)"
76,11_32,25.0,145.0,24.5533,142.4073,"Volcano Islands, Japan region",Country not found,5.6,21.0,1456090002290,"(2016, 2, 21)"
77,12_8,35.0,-95.0,36.4898,-98.709,"18 km SE of Waynoka, Oklahoma",United States,5.1,8.31,1455383226290,"(2016, 2, 13)"
78,12_17,35.0,-5.0,35.7375,-3.5108,"66 km NE of Al Hoceïma, Morocco",Country not found,5.1,10.0,1456112762460,"(2016, 2, 22)"
79,12_20,35.0,25.0,37.5665,21.7826,"14 km E of Kréstena, Greece",Greece,5.3,28.63,1455562502030,"(2016, 2, 15)"
80,12_27,35.0,95.0,32.0565,95.0448,"227 km WNW of Qamdo, China",China,5.1,10.0,1456187618210,"(2016, 2, 23)"
81,12_32,35.0,145.0,39.7102,142.9463,"86 km E of Miyako, Japan",Country not found,5.3,12.23,1454391107770,"(2016, 2, 2)"
82,12_32,35.0,145.0,37.2534,142.2432,"113 km ESE of Namie, Japan",Country not found,5.1,18.86,1455887632380,"(2016, 2, 19)"
83,13_33,45.0,155.0,47.6037,151.9609,Kuril Islands,Country not found,5.1,44.6,1454549640530,"(2016, 2, 4)"
84,13_33,45.0,155.0,47.3543,153.9455,Kuril Islands,Country not found,5.0,41.57,1454499887980,"(2016, 2, 3)"
85,14_29,55.0,115.0,56.169,112.1106,"25 km E of Novyy Uoyan, Russia",Russia,5.0,16.49,1455395506630,"(2016, 2, 13)"
86,14_35,55.0,175.0,51.4076,179.7,"259 km WSW of Adak, Alaska",United States,5.3,44.67,1455019926310,"(2016, 2, 9)"
