,bin_id,bin_centre_lat,bin_centre_lon,quake_lat,quake_lon,place,country,magnitude,depth,utm,date
0,3_2,-55.0,-155.0,-59.6236,-151.1228,Pacific-Antarctic Ridge,Country not found,5.5,10.0,1513464050460,"(2017, 12, 16)"
1,3_2,-55.0,-155.0,-59.6197,-150.6322,Pacific-Antarctic Ridge,Country not found,5.0,10.0,1513400758550,"(2017, 12, 16)"
2,3_3,-55.0,-145.0,-56.5571,-142.1743,Pacific-Antarctic Ridge,Country not found,5.5,10.0,1514497254410,"(2017, 12, 28)"
3,3_6,-55.0,-115.0,-53.0916,-117.4105,southern East Pacific Rise,Country not found,5.7,10.0,1514582453180,"(2017, 12, 29)"
4,3_6,-55.0,-115.0,-53.0722,-117.9645,southern East Pacific Rise,Country not found,5.0,10.0,1514582165420,"(2017, 12, 29)"
5,3_6,-55.0,-115.0,-52.8545,-118.4953,southern East Pacific Rise,Country not found,5.0,10.0,1514588457990,"(2017, 12, 29)"
6,3_15,-55.0,-25.0,-56.3586,-26.7386,South Sandwich Islands region,Country not found,5.1,51.06,1513374799860,"(2017, 12, 15)"
7,3_18,-55.0,5.0,-54.2189,2.1628,Bouvet Island region,Country not found,6.5,17.0,1513188223920,"(2017, 12, 13)"
8,4_9,-45.0,-85.0,-42.6085,-83.3352,West Chile Rise,Country not found,5.0,10.0,1513709918990,"(2017, 12, 19)"
9,4_28,-45.0,105.0,-48.7787,106.8254,southeast Indian Ridge,Country not found,5.5,10.0,1512105628480,"(2017, 12, 1)"
10,4_28,-45.0,105.0,-48.1607,104.3803,southeast Indian Ridge,Country not found,5.3,10.0,1512885478390,"(2017, 12, 10)"
11,5_0,-35.0,-175.0,-30.5548,-178.4924,"Kermadec Islands, New Zealand",New Zealand,5.9,12.0,1512698997430,"(2017, 12, 8)"
12,5_0,-35.0,-175.0,-32.7469,-178.771,south of the Kermadec Islands,Country not found,5.8,38.0,1512346089170,"(2017, 12, 4)"
13,5_0,-35.0,-175.0,-31.0448,-178.7345,Kermadec Islands region,Country not found,5.0,98.3,1512314808690,"(2017, 12, 3)"
14,6_0,-25.0,-175.0,-20.8328,-173.7212,"130 km SSE of Pangai, Tonga",Country not found,5.7,7.0,1512989400920,"(2017, 12, 11)"
15,6_0,-25.0,-175.0,-21.868,-174.4018,"82 km SE of ‘Ohonua, Tonga",Country not found,5.3,10.0,1513339927950,"(2017, 12, 15)"
16,6_0,-25.0,-175.0,-20.4962,-173.9349,"87 km SSE of Pangai, Tonga",Country not found,5.3,10.0,1513723972390,"(2017, 12, 19)"
