,bin_id,bin_centre_lat,bin_centre_lon,quake_lat,quake_lon,place,country,magnitude,depth,utm,date
0,2_12,-65.0,-55.0,-62.2342,-58.1924,South Shetland Islands,Country not found,5.9,12.33,1604706559160,"(2020, 11, 6)"
1,2_33,-65.0,155.0,-61.913,154.9182,Balleny Islands region,Country not found,5.9,10.0,1606344964101,"(2020, 11, 25)"
2,3_5,-55.0,-125.0,-55.5739,-124.937,southern East Pacific Rise,Country not found,5.3,10.0,1606568987299,"(2020, 11, 28)"
3,3_15,-55.0,-25.0,-55.7988,-26.9,South Sandwich Islands region,Country not found,5.1,17.06,1604453729823,"(2020, 11, 4)"
4,3_15,-55.0,-25.0,-55.5268,-29.8418,South Sandwich Islands region,Country not found,5.0,10.0,1606536304623,"(2020, 11, 28)"
5,3_32,-55.0,145.0,-53.9402,140.6723,west of Macquarie Island,Country not found,5.7,10.0,1605842355484,"(2020, 11, 20)"
6,3_34,-55.0,165.0,-53.1621,160.0486,Macquarie Island region,Country not found,5.7,10.0,1605258763850,"(2020, 11, 13)"
7,4_8,-45.0,-95.0,-41.1242,-90.3987,southeast of Easter Island,Country not found,5.7,10.0,1606343862962,"(2020, 11, 25)"
8,4_10,-45.0,-75.0,-44.4111,-79.375,"Off the coast of Aisen, Chile",Country not found,6.0,10.0,1604371254919,"(2020, 11, 3)"
9,4_29,-45.0,115.0,-49.5875,117.3583,western Indian-Antarctic Ridge,Country not found,5.2,10.0,1605242144089,"(2020, 11, 13)"
10,5_7,-35.0,-105.0,-35.5799,-104.0024,southeast of Easter Island,Country not found,5.3,10.0,1604492922280,"(2020, 11, 4)"
11,5_10,-35.0,-75.0,-34.5978,-73.0596,"100 km NW of Constitución, Chile",Country not found,6.1,22.0,1606006496794,"(2020, 11, 22)"
12,5_10,-35.0,-75.0,-30.9181,-71.4511,"42 km SW of Ovalle, Chile",Chile,5.5,51.0,1605924708221,"(2020, 11, 21)"
13,5_22,-35.0,45.0,-39.4567,46.2083,Southwest Indian Ridge,Country not found,5.2,10.0,1606410226200,"(2020, 11, 26)"
14,5_23,-35.0,55.0,-31.2456,58.6738,Southwest Indian Ridge,Country not found,5.0,10.0,1606668738619,"(2020, 11, 29)"
15,6_0,-25.0,-175.0,-22.1758,-176.1842,"150 km SW of Vaini, Tonga",Tonga,5.2,64.76,1606226855584,"(2020, 11, 24)"
16,6_11,-25.0,-65.0,-23.2591,-65.0281,"33 km E of Humahuaca, Argentina",Argentina,5.8,8.0,1606668043995,"(2020, 11, 29)"
17,6_16,-25.0,-15.0,-22.457,-12.7238,southern Mid-Atlantic Ridge,Country not found,5.1,10.0,1606510855451,"(2020, 11, 27)"
18,6_25,-25.0,75.0,-27.7324,74.1059,Mid-Indian Ridge,Country not found,5.2,10.0,1605350355697,"(2020, 11, 14)"
19,6_34,-25.0,165.0,-21.3851,169.0369,"121 km E of Tadine, New Caledonia",Country not found,5.3,10.0,1605914197740,"(2020, 11, 20)"
20,6_34,-25.0,165.0,-20.037,169.1388,"56 km SSW of Isangel, Vanuatu",Country not found,5.1,77.57,1606365695767,"(2020, 11, 26)"
21,7_0,-15.0,-175.0,-15.2458,-173.5276,"83 km NNE of Hihifo, Tonga",Country not found,6.2,34.0,1604741225498,"(2020, 11, 7)"
22,7_0,-15.0,-175.0,-17.6793,-174.7733,"136 km NW of Neiafu, Tonga",Country not found,5.6,10.0,1606694214428,"(2020, 11, 29)"
23,7_24,-15.0,65.0,-17.427,66.123,Mauritius - Reunion region,Country not found,5.4,10.0,1606594524871,"(2020, 11, 28)"
24,7_34,-15.0,165.0,-19.5831,168.8591,"44 km W of Isangel, Vanuatu",Country not found,5.4,40.0,1605336153865,"(2020, 11, 14)"
25,7_34,-15.0,165.0,-11.5972,165.0159,"128 km SW of Lata, Solomon Islands",Country not found,5.3,11.57,1604795943272,"(2020, 11, 8)"
26,7_34,-15.0,165.0,-10.9231,164.396,"154 km W of Lata, Solomon Islands",Country not found,5.1,10.0,1605534136784,"(2020, 11, 16)"
27,7_34,-15.0,165.0,-15.0212,167.8683,"85 km E of Port-Olry, Vanuatu",Vanuatu,5.1,10.0,1605651727136,"(2020, 11, 17)"
28,7_34,-15.0,165.0,-11.5043,167.3002,Santa Cruz Islands,Country not found,5.1,10.0,1605902626142,"(2020, 11, 20)"
29,7_35,-15.0,175.0,-16.7489,174.4645,Fiji region,Country not found,5.5,10.0,1606022317429,"(2020, 11, 22)"
30,7_35,-15.0,175.0,-16.8323,174.3728,Fiji region,Country not found,5.0,10.0,1606256330722,"(2020, 11, 24)"
31,8_24,-5.0,65.0,-8.9759,67.5822,Mid-Indian Ridge,Country not found,5.5,10.0,1606255378090,"(2020, 11, 24)"
32,8_27,-5.0,95.0,-2.6706,99.3227,"222 km SSW of Padang, Indonesia",Country not found,6.0,19.0,1605577451421,"(2020, 11, 17)"
33,8_28,-5.0,105.0,-7.3061,106.1567,"56 km SW of Pelabuhanratu, Indonesia",Indonesia,5.2,39.99,1604528509702,"(2020, 11, 4)"
34,8_28,-5.0,105.0,-1.8125,100.4271,"95 km S of Padang, Indonesia",Indonesia,5.2,15.62,1605674515825,"(2020, 11, 18)"
35,8_28,-5.0,105.0,-5.0092,102.93,"114 km SSW of Pagar Alam, Indonesia",Indonesia,5.2,55.23,1606661307981,"(2020, 11, 29)"
36,8_30,-5.0,125.0,-2.6552,127.4963,"138 km NNW of Ambon, Indonesia",Indonesia,5.3,10.0,1606044446446,"(2020, 11, 22)"
37,8_30,-5.0,125.0,-2.7692,128.7604,"Ceram Sea, Indonesia",Indonesia,5.0,10.0,1605890498308,"(2020, 11, 20)"
