,bin_id,bin_centre_lat,bin_centre_lon,quake_lat,quake_lon,place,country,magnitude,depth,utm,date
0,2_34,-65.0,165.0,-62.838,166.091,Balleny Islands region,Country not found,5.3,10.0,1274175922210,"(2010, 5, 18)"
1,2_35,-65.0,175.0,-65.425,179.875,Balleny Islands region,Country not found,5.5,10.0,1274779172340,"(2010, 5, 25)"
2,3_3,-55.0,-145.0,-56.87,-143.132,Pacific-Antarctic Ridge,Country not found,5.6,10.0,1274316298620,"(2010, 5, 20)"
3,3_3,-55.0,-145.0,-56.737,-140.913,Pacific-Antarctic Ridge,Country not found,5.3,10.0,1272935882810,"(2010, 5, 4)"
4,3_4,-55.0,-135.0,-54.8,-135.252,Pacific-Antarctic Ridge,Country not found,6.0,10.0,1274265010400,"(2010, 5, 19)"
5,3_4,-55.0,-135.0,-54.843,-135.398,Pacific-Antarctic Ridge,Country not found,6.0,10.0,1274266263080,"(2010, 5, 19)"
6,3_4,-55.0,-135.0,-56.236,-139.157,Pacific-Antarctic Ridge,Country not found,5.7,15.0,1274508917400,"(2010, 5, 22)"
7,3_4,-55.0,-135.0,-58.234,-139.863,Pacific-Antarctic Ridge,Country not found,5.0,10.0,1275261720170,"(2010, 5, 30)"
8,3_5,-55.0,-125.0,-55.725,-127.942,Pacific-Antarctic Ridge,Country not found,5.8,10.0,1273145729520,"(2010, 5, 6)"
9,3_5,-55.0,-125.0,-55.064,-129.005,Pacific-Antarctic Ridge,Country not found,5.3,10.0,1274061985230,"(2010, 5, 17)"
10,3_5,-55.0,-125.0,-55.25,-128.25,Pacific-Antarctic Ridge,Country not found,5.0,10.0,1273139208000,"(2010, 5, 6)"
11,3_15,-55.0,-25.0,-55.692,-26.932,South Sandwich Islands region,Country not found,5.2,35.0,1273430689760,"(2010, 5, 9)"
12,3_15,-55.0,-25.0,-58.602,-26.362,South Sandwich Islands region,South Georgia and the South Sandwich Islands,5.0,96.3,1272731333000,"(2010, 5, 1)"
13,3_15,-55.0,-25.0,-55.501,-26.291,South Sandwich Islands region,Country not found,5.0,10.0,1274319830040,"(2010, 5, 20)"
14,3_15,-55.0,-25.0,-56.161,-27.508,South Sandwich Islands region,South Georgia and the South Sandwich Islands,5.0,35.0,1275241022190,"(2010, 5, 30)"
15,3_20,-55.0,25.0,-51.842,28.316,south of Africa,Country not found,5.3,10.0,1273972086940,"(2010, 5, 16)"
16,3_29,-55.0,115.0,-50.012,119.618,western Indian-Antarctic Ridge,Country not found,5.1,10.0,1274897214620,"(2010, 5, 26)"
17,3_32,-55.0,145.0,-56.784,147.616,west of Macquarie Island,Country not found,5.4,10.0,1273081743100,"(2010, 5, 5)"
18,4_9,-45.0,-85.0,-41.239,-88.467,West Chile Rise,Country not found,5.4,10.0,1274265546230,"(2010, 5, 19)"
19,4_16,-45.0,-15.0,-47.065,-12.107,southern Mid-Atlantic Ridge,Country not found,5.3,10.0,1272991124840,"(2010, 5, 4)"
20,5_7,-35.0,-105.0,-35.949,-103.058,southeast of Easter Island,Country not found,5.9,10.0,1273052303000,"(2010, 5, 5)"
21,5_8,-35.0,-95.0,-39.063,-92.159,southeast of Easter Island,Country not found,5.9,10.0,1274342788760,"(2010, 5, 20)"
22,5_8,-35.0,-95.0,-38.689,-91.372,West Chile Rise,Country not found,5.0,10.0,1274457390500,"(2010, 5, 21)"
23,5_8,-35.0,-95.0,-39.75,-91.75,West Chile Rise,Country not found,5.0,10.0,1274457392000,"(2010, 5, 21)"
24,5_10,-35.0,-75.0,-38.072,-73.454,"30 km S of Cañete, Chile",Chile,6.3,19.0,1272928184790,"(2010, 5, 3)"
25,5_10,-35.0,-75.0,-34.228,-71.877,"65 km NW of Santa Cruz, Chile",Chile,5.9,13.0,1272811960030,"(2010, 5, 2)"
26,5_10,-35.0,-75.0,-37.232,-73.686,"32 km W of Arauco, Chile",Chile,5.4,35.0,1272911984690,"(2010, 5, 3)"
27,5_10,-35.0,-75.0,-35.56,-72.939,"54 km WSW of Constitución, Chile",Country not found,5.4,30.1,1273073050680,"(2010, 5, 5)"
28,5_10,-35.0,-75.0,-34.64,-71.969,"55 km W of Santa Cruz, Chile",Chile,5.3,7.3,1274467926000,"(2010, 5, 21)"
29,5_10,-35.0,-75.0,-36.25,-73.106,"42 km NNW of Tomé, Chile",Country not found,5.3,35.0,1274745457500,"(2010, 5, 24)"
30,5_10,-35.0,-75.0,-37.617,-72.852,"20 km SW of Nacimiento, Chile",Chile,5.3,34.8,1274792966030,"(2010, 5, 25)"
31,5_10,-35.0,-75.0,-34.152,-72.247,"85 km SW of San Antonio, Chile",Chile,5.2,22.3,1272981306530,"(2010, 5, 4)"
